Date,Temperature (°F),Cloud Cover,Energy Level (1–5),Hours slept ,caffiene (mg) ,Steps Taken,Assignments  #
1/29/2026,75,mostly clear,3,8,80,"10,252",1
1/30/2026,78,mostly clear,4,8,0,"5,278",3
1/31/2026,77,mostly clear,3,6,0,"3,854",0
2/1/2026,75,mostly clear,4,7,0,6219,0
2/2/2026,69,mostly clear,5,7,0,5586,0
2/3/2026,73,mostly clear,4,8,0,"10,579",1
2/4/2026,80,mostly clear,5,6,0,8165,2
2/5/2026,76,mostly clear,3,8,0,"11,135",1
2/6/2026,65,cloudy,2,7,0,7132,1
2/7/2026,68,mostly clear,4,7,0,"5,586",0
2/8/2026,74,mostly clear,5,8,0,7162,0
2/9/2026,68,mostly clear,5,6,0,"6,815",0
2/10/2026,63,cloudy,4,7,80,"10,692",2
2/11/2026,63,cloudy,3,8,0,"7,016",1
2/12/2026,65,mostly clear,2,5,80,"10,478",2
2/13/2026,72,mostly clear,3,8,0,"8,097",2
2/14/2026,64,partly cloudy,2,6,0,"5,404",0
2/15/2026,62,cloudy,5,7,0,"3,915",0
2/16/2026,59,cloudy/rain,3,7,0,"5,149",0
2/17/2026,58,cloudy/rain,3,8,0,"10,521",1
2/18/2026,58,mostly clear,4,8,0,"6,319",2
2/19/2026,58,cloudy/rain,1,8,0,"9,484",1
2/20/2026,56,mostly clear,2,6,0,"6,491",1
2/21/2026,61,mostly clear,4,8,0,"4,992",0
2/22/2026,66,mostly clear,5,8,0,"6,145",0
2/23/2026,68,mostly clear,5,7,0,"4,989",0
2/24/2026,69,mostly clear,4,5,80,"11,127",1
2/25/2026,67,mostly clear,3,8,0,"6,907",2
2/26/2026,71,mostly clear,3,7,80,"10,285",1
2/27/2026,81,mostly clear,1,8,0,"9,162",2
